,pdiff_bottomup,pdiff_inspect,loss_bottomup,loss_inspect,confidence_bound_bottomup,confidence_bound_inspect,sigma_loss_bottomup,sigma_loss_inspect,sigma_pdiff_bottomup,sigma_pdiff_inspect
0.1,1.0,1.0,0.9837999999999988,0.9837999999999987,0.0,0.0,0.03791516846860388,0.037915168468606805,0.0,0.0
0.15000000000000002,1.0,1.0,0.9405999999999957,0.9189999999999939,0.0,0.0,0.051494077329428574,0.043577517139145615,0.0,0.0
0.2,1.0,1.0,0.9011999999999928,0.8941999999999932,0.0,0.0,0.023633873995068003,0.027319590041094882,0.0,0.0
0.25,1.0,1.0,0.8969999999999928,0.8875999999999936,0.0,0.0,0.01819340539906219,0.03749986666659398,0.0,0.0
0.30000000000000004,1.0,1.0,0.896199999999993,0.8745999999999956,0.0,0.0,0.021108292209794138,0.04914102156047793,0.0,0.0
0.35,1.0,1.0,0.8955999999999933,0.8503999999999978,0.0,0.0,0.025702918122528885,0.06180485417830972,0.0,0.0
0.4,1.0,1.0,0.8929999999999941,0.8172,0.0,0.0,0.0342198772647033,0.07172279972224824,0.0,0.0
0.45000000000000007,1.0,1.0,0.8891999999999949,0.7672,0.0,0.0,0.040538376879315476,0.07927269391157747,0.0,0.0
0.5,1.0,1.0,0.879799999999996,0.712999999999999,0.0,0.0,0.05071449496945327,0.07804485889539611,0.0,0.0
0.55,1.0,1.0,0.8671999999999975,0.6737999999999981,0.0,0.0,0.06327843234470466,0.07780462711179172,0.0,0.0
0.6,1.0,1.0,0.8607999999999982,0.6383999999999982,0.0,0.0,0.07989593231198634,0.07433330343799316,0.0,0.0
0.65,1.0,1.0,0.8485999999999991,0.6095999999999988,0.0,0.0,0.09989013965352146,0.0796733330544382,0.0,0.0
0.7000000000000001,1.0,1.0,0.8293999999999989,0.5775999999999989,0.0,0.0,0.1169428920456533,0.08208678334544792,0.0,0.0
0.75,1.0,1.0,0.7969999999999982,0.5417999999999992,0.0,0.0,0.12365678307316608,0.08070167284512313,0.0,0.0
0.8,1.0,1.0,0.7461999999999978,0.5099999999999997,0.0,0.0,0.12217020913465543,0.07758865896508346,0.0,0.0
0.85,1.0,1.0,0.7001999999999983,0.4896000000000004,0.0,0.0,0.10705120270228136,0.07701843935058034,0.0,0.0
0.9,1.0,1.0,0.6581999999999985,0.473200000000001,0.0,0.0,0.08940223710850297,0.07537745020892123,0.0,0.0
0.9500000000000001,1.0,1.0,0.6447999999999997,0.4516000000000016,0.0,0.0,0.08917936981165017,0.07834181514362394,0.0,0.0
1.0,1.0,1.0,0.6294000000000002,0.4282000000000019,0.0,0.0,0.0924967026439431,0.08333522664514503,0.0,0.0
1.05,1.0,0.998,0.6178000000000007,0.4000000000000021,0.0,0.003916078038037548,0.1007132563270636,0.08579044235809612,0.0,0.04467661580737733
1.1,1.0,0.998,0.6054000000000002,0.375000000000002,0.0,0.003916078038037548,0.10784637221530129,0.09140568910083316,0.0,0.04467661580737733
1.1500000000000001,1.0,1.0,0.5875999999999999,0.3504000000000015,0.0,0.0,0.11404490343720271,0.09284309344264,0.0,0.0
1.2000000000000002,1.0,0.998,0.5651999999999997,0.32560000000000083,0.0,0.003916078038037548,0.1127340232582892,0.09499810524425892,0.0,0.04467661580737733
1.2500000000000002,1.0,0.992,0.5387999999999998,0.30160000000000053,0.0,0.0078085770278585355,0.10906218409696318,0.09163754688990597,0.0,0.08908422980528065
1.3000000000000003,1.0,0.992,0.5134000000000004,0.27420000000000017,0.0,0.0078085770278585355,0.11045560194032226,0.09248978321955288,0.0,0.08908422980528065
1.35,1.0,0.99,0.4822000000000011,0.24960000000000002,0.0,0.008721449420824505,0.10873435519649789,0.08752051188150006,0.0,0.0994987437106621
1.4000000000000001,1.0,0.98,0.4532000000000017,0.22380000000000014,0.0,0.01227154106051885,0.10024849126045637,0.0856362072957445,0.0,0.1400000000000002
1.4500000000000002,1.0,0.976,0.42600000000000193,0.20380000000000004,0.0,0.01341533737182931,0.09921693403848861,0.08249581807582608,0.0,0.15304901175767194
1.5000000000000002,1.0,0.964,0.3956000000000022,0.18480000000000027,0.0,0.01632904690421337,0.09602416362560985,0.07955476101403151,0.0,0.18629009635512048
1.5500000000000003,1.0,0.952,0.363000000000002,0.1688000000000003,0.0,0.018737435982545753,0.09429209935089154,0.07366518852212124,0.0,0.21376622745419838
1.6,0.998,0.94,0.3326000000000016,0.15480000000000044,0.003916078038037548,0.02081663949824756,0.09163645562765378,0.0695482566280395,0.04467661580737733,0.23748684174075835
1.6500000000000001,0.998,0.936,0.30720000000000114,0.14100000000000062,0.003916078038037548,0.02145354079866537,0.09245625992867856,0.0627614531380499,0.04467661580737733,0.2447529366524536
1.7000000000000002,0.998,0.936,0.28300000000000053,0.13100000000000084,0.003916078038037548,0.02145354079866537,0.08883130078975367,0.05673623181001386,0.04467661580737733,0.2447529366524536
1.7500000000000002,0.998,0.924,0.2614000000000002,0.1242000000000009,0.003916078038037548,0.023228108765028628,0.08837443069123427,0.05132601679460073,0.04467661580737733,0.26499811320083005
1.8000000000000003,0.998,0.922,0.23820000000000047,0.1194000000000009,0.003916078038037548,0.02350627599599732,0.08173591621802186,0.0482041491990021,0.04467661580737733,0.26817158686184484
1.85,0.998,0.91,0.22400000000000045,0.11360000000000087,0.003916078038037548,0.02508493731305701,0.08014985963805256,0.045771606919570565,0.04467661580737733,0.28618176042508364
1.9000000000000001,0.998,0.916,0.20620000000000036,0.11160000000000088,0.003916078038037548,0.02431411402457428,0.07938236579996608,0.043651345912808635,0.04467661580737733,0.27738781516137295
1.9500000000000002,0.994,0.908,0.19400000000000048,0.10820000000000085,0.006769239602791442,0.025334241555649534,0.0740540343262914,0.042810746314444134,0.07722693830523109,0.2890259503920019
2.0,0.992,0.908,0.18000000000000055,0.10560000000000085,0.0078085770278585355,0.025334241555649534,0.06985699678628882,0.04010785459233263,0.08908422980528065,0.2890259503920019
2.0500000000000003,0.992,0.898,0.16720000000000057,0.10480000000000084,0.0078085770278585355,0.02652829408763405,0.06390743305750532,0.04167685208841597,0.08908422980528065,0.30264831075028326
2.1,0.992,0.898,0.15900000000000056,0.10400000000000083,0.0078085770278585355,0.02652829408763405,0.061473571557211074,0.04029888335921614,0.08908422980528065,0.30264831075028326
2.1500000000000004,0.99,0.884,0.15220000000000047,0.10240000000000082,0.008721449420824505,0.02806895190063213,0.059119878213673746,0.038395833107248895,0.0994987437106621,0.3202249209540069
2.2,0.99,0.886,0.14800000000000046,0.10140000000000084,0.008721449420824505,0.0278573856059753,0.055641710972970965,0.03657922907880524,0.0994987437106621,0.31781126474686194
2.25,0.988,0.876,0.14300000000000046,0.10020000000000083,0.009544213912104029,0.02888909684984977,0.05595533933414813,0.03660546407300029,0.1088852607105295,0.32958155288183233
2.3000000000000003,0.984,0.88,0.14060000000000059,0.09980000000000082,0.010998377189385717,0.028484134531349202,0.053024899811311664,0.037682356614199684,0.1254750971308649,0.32496153618543844
2.35,0.984,0.878,0.13640000000000074,0.10080000000000083,0.010998377189385717,0.02868786592272071,0.05172078885708939,0.03897896868825176,0.1254750971308649,0.3272858078194042
2.4000000000000004,0.982,0.882,0.1342000000000008,0.10000000000000081,0.01165367938464072,0.02827784863103981,0.05301282863609162,0.038470768123339064,0.13295111883696212,0.32260812141048145
2.45,0.982,0.886,0.13300000000000078,0.10040000000000082,0.01165367938464072,0.0278573856059753,0.05301886456724276,0.03794522367834609,0.13295111883696212,0.31781126474686194
2.5000000000000004,0.978,0.894,0.13000000000000086,0.09920000000000082,0.012857360973387973,0.026983157057690634,0.04999999999999621,0.03576814224976915,0.14668333238647116,0.30783761953341565
2.5500000000000003,0.98,0.894,0.12720000000000095,0.09760000000000082,0.01227154106051885,0.026983157057690634,0.050001599974396946,0.031531571480021836,0.1400000000000002,0.30783761953341565
2.6,0.98,0.892,0.12380000000000091,0.09740000000000082,0.01227154106051885,0.02720604262291743,0.048719195395651255,0.03183143100772772,0.1400000000000002,0.31038041175306147
2.6500000000000004,0.978,0.896,0.12180000000000085,0.09700000000000081,0.012857360973387973,0.026757266467260815,0.04716736159676173,0.0311608729017615,0.14668333238647116,0.3052605444534225
2.7,0.978,0.9,0.11940000000000085,0.09780000000000082,0.012857360973387973,0.02629615941539752,0.04608296865437032,0.031861575604475764,0.14668333238647116,0.29999999999999993
2.7500000000000004,0.97,0.9,0.11620000000000084,0.09820000000000083,0.014952629200244358,0.02629615941539752,0.044244321669562145,0.03188667433270084,0.17058722109231986,0.29999999999999993
2.8000000000000003,0.966,0.904,0.1142000000000008,0.09860000000000083,0.015885434233913788,0.025822060893739673,0.04536915251577547,0.03252752680422719,0.181229136730273,0.29459124223235145
2.85,0.964,0.902,0.11020000000000081,0.09840000000000083,0.01632904690421337,0.02606077794694548,0.04044700236111075,0.03282438118228153,0.18629009635512048,0.29731464814233427
2.9000000000000004,0.966,0.906,0.10920000000000082,0.09800000000000082,0.015885434233913788,0.025579914870851303,0.03841041525419497,0.030919249667476157,0.181229136730273,0.29182871688714945
2.95,0.964,0.908,0.10660000000000083,0.09740000000000082,0.01632904690421337,0.025334241555649534,0.03544629740889302,0.02921027216579342,0.18629009635512048,0.2890259503920019
3.0000000000000004,0.962,0.906,0.10400000000000086,0.09720000000000081,0.016759088853514688,0.025579914870851303,0.03072458299146944,0.029532355138046976,0.1911962342725401,0.29182871688714945
3.0500000000000003,0.958,0.9,0.10140000000000088,0.09700000000000081,0.01758241266720811,0.02629615941539752,0.0256522903460822,0.030512292604780302,0.20058913230780986,0.29999999999999993
3.1,0.956,0.894,0.10060000000000086,0.09600000000000079,0.017977378140318467,0.026983157057690634,0.024075713904258538,0.03136877428271208,0.2050950998927083,0.30783761953341565
3.1500000000000004,0.956,0.892,0.09980000000000086,0.09540000000000079,0.017977378140318467,0.02720604262291743,0.02144667806443943,0.03160443006921246,0.2050950998927083,0.31038041175306147
3.2,0.954,0.88,0.09920000000000086,0.09340000000000077,0.018362177125820354,0.028484134531349202,0.020960916010511286,0.033112535390690805,0.20948508300115318,0.32496153618543844
3.2500000000000004,0.954,0.878,0.09920000000000086,0.09280000000000077,0.018362177125820354,0.02868786592272071,0.020960916010511286,0.033289037234497394,0.20948508300115318,0.3272858078194042
3.3000000000000003,0.954,0.876,0.09920000000000086,0.09180000000000076,0.018362177125820354,0.02888909684984977,0.020960916010511286,0.03335805749739873,0.20948508300115318,0.32958155288183233
3.35,0.95,0.862,0.09840000000000085,0.09080000000000074,0.01910371691582558,0.03023181667052114,0.021850400453989692,0.03514768840193855,0.21794494717703364,0.3448999855030441
3.4000000000000004,0.944,0.86,0.09780000000000083,0.08940000000000072,0.020153527849982002,0.03041475431431265,0.023133525455488125,0.03560393236708238,0.22992172581119869,0.3469870314579495
3.45,0.938,0.858,0.09720000000000083,0.08880000000000071,0.021138216083671783,0.03059559372197245,0.024334337878802497,0.03570098037869236,0.2411555514600485,0.3490501396647766
3.5000000000000004,0.938,0.852,0.09720000000000083,0.0882000000000007,0.021138216083671783,0.03112588612714504,0.024334337878802497,0.0363422618998843,0.2411555514600485,0.355099985919459
3.5500000000000003,0.932,0.842,0.09660000000000082,0.08720000000000068,0.022066501381052674,0.0319709586218493,0.025464485072345843,0.037365224474098735,0.251745903640953,0.3647410040014696
3.6,0.93,0.834,0.09640000000000082,0.08640000000000067,0.022364622062534385,0.032614305769094645,0.02582711753176739,0.03814498656442009,0.2551470164434613,0.3720806364217305
3.6500000000000004,0.924,0.818,0.0958000000000008,0.08480000000000065,0.023228108765028628,0.03382076408362177,0.026876755756596277,0.039610099722164296,0.26499811320083005,0.38584452827531457
3.7,0.91,0.814,0.09500000000000079,0.08440000000000064,0.02508493731305701,0.03410670334113223,0.02889636655359523,0.03995797792681461,0.28618176042508364,0.3891066691795451
3.7500000000000004,0.904,0.792,0.09480000000000079,0.08220000000000062,0.025822060893739673,0.03557667262687729,0.029882436312987263,0.041751167648340234,0.29459124223235145,0.4058768286069063
3.8000000000000003,0.9,0.78,0.09440000000000079,0.0810000000000006,0.02629615941539752,0.03631028945078791,0.03047359512758121,0.04264973622427015,0.29999999999999993,0.41424630354415953
3.85,0.886,0.768,0.09260000000000077,0.07940000000000057,0.0278573856059753,0.036999484363974586,0.032330171666722606,0.04330865964215278,0.31781126474686194,0.4221089906647334
3.9000000000000004,0.878,0.76,0.09180000000000076,0.07860000000000056,0.02868786592272071,0.03743548690747858,0.03335805749739868,0.0438410766291139,0.3272858078194042,0.4270831300812525
3.95,0.874,0.75,0.09140000000000074,0.07760000000000054,0.02908787920766999,0.037955236792832685,0.03385321255065406,0.04447740999653466,0.331849363416596,0.4330127018922193
4.0,0.862,0.732,0.09020000000000072,0.07540000000000054,0.03023181667052114,0.03882343935305063,0.035269817124558046,0.04533034303862976,0.3448999855030441,0.4429175995600085
4.05,0.85,0.716,0.08900000000000072,0.0738000000000005,0.031298690068435775,0.03952635349738197,0.03659234892706089,0.04619047520863862,0.3570714214271426,0.45093680266751346
4.1,0.836,0.69,0.08760000000000068,0.07080000000000046,0.032456084988796784,0.04053932017190224,0.03802946226282703,0.04719491498032256,0.37027557305336795,0.4624932431938871
4.1499999999999995,0.826,0.68,0.08660000000000066,0.06940000000000045,0.033230411324568346,0.04088843748543101,0.03899281985186236,0.04736707717391774,0.37910948286741664,0.466476151587624
4.2,0.808,0.664,0.08480000000000064,0.06740000000000042,0.03452449732001901,0.04140232665925914,0.04060738849027108,0.048137719098435575,0.3938730760029174,0.4723388614120163
4.25,0.792,0.65,0.08300000000000061,0.06600000000000038,0.03557667262687729,0.04180822885509502,0.04208325082499937,0.048620983124571825,0.4058768286069063,0.47696960070847283
4.3,0.786,0.634,0.0822000000000006,0.06420000000000035,0.03594919989095724,0.04222369548961815,0.04269847772461934,0.049176823809594566,0.41012680965769605,0.48170945600019105
4.35,0.778,0.604,0.08100000000000059,0.061200000000000324,0.0364281700226624,0.042868385889837275,0.04311612227461814,0.04994557037415749,0.41559114523772034,0.48906441293555597
4.3999999999999995,0.772,0.584,0.08040000000000057,0.059200000000000294,0.03677453101264515,0.0432040199611101,0.04354124481454138,0.0503523584353298,0.4195426080864731,0.4928934976239796
4.45,0.738,0.558,0.07660000000000053,0.056600000000000254,0.03854338878718372,0.04353106609307886,0.045524059572931805,0.0507586445839518,0.439722639853806,0.4966246067202067
4.5,0.722,0.532,0.07500000000000051,0.05400000000000022,0.03927010531180175,0.04373708270106729,0.04642197755373903,0.0510294032886918,0.44801339265696066,0.49897494927100294
4.55,0.702,0.498,0.07300000000000048,0.05060000000000017,0.040091080145089636,0.04382658174213453,0.04744470465710437,0.05118241885647809,0.4573794923255742,0.49999599998399985
4.6,0.686,0.478,0.07140000000000046,0.04860000000000014,0.04068159304648725,0.04378448733512817,0.0481875502593758,0.0511667861019233,0.46411636471902173,0.4995157655169654
4.6499999999999995,0.658,0.466,0.06880000000000043,0.047000000000000125,0.041581204831029124,0.04372548708476556,0.04926012586260699,0.050705029336348635,0.47437959483940706,0.4988426605654332
4.7,0.64,0.442,0.06700000000000039,0.04460000000000009,0.04207385506463604,0.04353106609307886,0.049909918853870035,0.050505841246334914,0.48,0.4966246067202067
4.75,0.618,0.434,0.06480000000000037,0.04380000000000008,0.042588955413346306,0.043443434265720754,0.05060592850644971,0.05041388697571322,0.4858765275252551,0.4956248581336493
4.8,0.6,0.412,0.06300000000000035,0.04160000000000005,0.042941448508405027,0.04314280124424004,0.051097945164163966,0.0500943110542504,0.4898979485566356,0.49219508327491446
4.85,0.58,0.39,0.06100000000000031,0.039000000000000014,0.04326231061790389,0.042753166900242605,0.05156549233741415,0.04918333050943177,0.4935585071701226,0.4877499359302879
4.9,0.556,0.364,0.05860000000000028,0.036399999999999974,0.04355118235823225,0.04217453654517142,0.05201961168636237,0.048528754362748734,0.49685410333416785,0.48114862568649197
4.95,0.538,0.354,0.05680000000000025,0.035399999999999966,0.04370017687836057,0.04191688095266631,0.052285370802930484,0.048237329942690706,0.4985539088203,0.47820915925983687
5.0,0.512,0.338,0.05420000000000022,0.03379999999999994,0.043814308384362295,0.041462779684917406,0.05255815826301323,0.04772378861741811,0.4998559792580259,0.47302854036516656
5.05,0.492,0.32,0.051800000000000186,0.03199999999999992,0.04382132215257773,0.04088843748543101,0.0523140516496281,0.047074409183759366,0.4999359959034756,0.46647615158762407
