,runtime_bottomup,runtime_inspect
0.5,0.20713310241699218,0.04016168117523193
0.6,0.40924360752105715,0.08224251270294189
0.7,0.6007811069488526,0.12046797275543213
0.8,0.7937547206878662,0.157812237739563
0.9,0.9862229824066162,0.19682662487030028
1.0,1.1783971786499023,0.2345458984375
1.1,1.3675280809402466,0.2710099458694458
1.2000000000000002,1.5628223419189453,0.3088526248931885
1.3,1.752232813835144,0.34585740566253664
1.4,1.9503503322601319,0.3847257852554321
1.5,2.1383681297302246,0.43163602352142333
1.6,2.3220587968826294,0.46883111000061034
1.7000000000000002,2.514278531074524,0.5123533010482788
1.8,2.708167028427124,0.5516893148422242
1.9000000000000001,2.897008275985718,0.5890488147735595
2.0,3.0905415058135985,0.6287357091903687
2.1,3.2779300928115847,0.6659816026687622
2.2,3.4716436862945557,0.7033199787139892
2.3,3.6564188957214356,0.7401463747024536
2.4000000000000004,3.8520551443099977,0.7786375045776367
2.5,4.033973169326782,0.8158263444900513
2.6,4.219166541099549,0.8610694885253907
2.7,4.401349186897278,0.9003866910934448
2.8000000000000003,4.587679076194763,0.9394182682037353
2.9000000000000004,4.77144193649292,0.9769024610519409
3.0,4.961068081855774,1.0185154676437378
3.1,5.155704641342163,1.059277606010437
3.2,5.348357081413269,1.0980940580368042
3.3000000000000003,5.529777097702026,1.1371995210647583
3.4000000000000004,5.710937571525574,1.1750965118408203
3.5,5.892321825027466,1.2164912939071655
3.6,6.075419497489929,1.2538528919219971
3.7,6.257133793830872,1.290501594543457
3.8000000000000003,6.442544960975647,1.3313895463943481
3.9000000000000004,6.625943231582641,1.3683419227600098
4.0,6.807388734817505,1.4052231073379517
4.1,6.991962933540345,1.4439107179641724
4.2,7.179739618301392,1.4833912134170533
4.300000000000001,7.36543550491333,1.520570731163025
4.4,7.5486427545547485,1.562802529335022
4.5,7.735081124305725,1.6015694379806518
4.6000000000000005,7.9157315492630005,1.6443728923797607
4.7,8.106050157546997,1.6817655086517334
4.8,8.292568111419678,1.7223177433013916
4.9,8.475921392440796,1.7624910831451417
5.0,8.660769724845887,1.8029715061187743
5.1000000000000005,8.842686438560486,1.8416363716125488
5.2,9.02493484020233,1.8849217176437378
5.300000000000001,9.206381964683533,1.9277300119400025
5.4,9.390582036972045,1.96861412525177
