,pdiff_bottomup,pdiff_inspect,loss_bottomup,loss_inspect,confidence_bound_bottomup,confidence_bound_inspect,sigma_loss_bottomup,sigma_loss_inspect,sigma_pdiff_bottomup,sigma_pdiff_inspect
0.5,0.906,0.982,0.798,0.956,0.025579914870851303,0.01165367938464072,0.27421889066947946,0.14513442045221417,0.29182871688714945,0.13295111883696212
0.6,0.904,0.982,0.794,0.954,0.025822060893739673,0.01165367938464072,0.2748890685349271,0.15127458477880587,0.29459124223235145,0.13295111883696212
0.7,0.9,0.982,0.785,0.953,0.02629615941539752,0.01165367938464072,0.27798381247835274,0.15261389189716662,0.29999999999999993,0.13295111883696212
0.8,0.894,0.984,0.778,0.953,0.026983157057690634,0.010998377189385717,0.2787758956581433,0.15261389189716662,0.30783761953341565,0.1254750971308649
0.9,0.894,0.986,0.763,0.952,0.026983157057690634,0.01029848983103834,0.279876758592063,0.15714961024450605,0.30783761953341565,0.11749042514179629
1.0,0.888,0.986,0.752,0.95,0.027643088452631335,0.01029848983103834,0.2801713761253994,0.15968719422671337,0.31536645351083237,0.11749042514179629
1.1,0.874,0.986,0.731,0.947,0.02908787920766999,0.01029848983103834,0.2865990230269463,0.16337380450978098,0.331849363416596,0.11749042514179629
1.2000000000000002,0.872,0.986,0.714,0.946,0.029284262859085256,0.01029848983103834,0.2884510357062357,0.16457217261736598,0.3340898082851377,0.11749042514179629
1.3,0.862,0.984,0.694,0.943,0.03023181667052114,0.010998377189385717,0.29217118269945785,0.17102923726661481,0.3448999855030441,0.1254750971308649
1.4,0.85,0.98,0.673,0.939,0.031298690068435775,0.01227154106051885,0.29422950225971545,0.18104971692880414,0.3570714214271426,0.1400000000000002
1.5,0.838,0.972,0.656,0.934,0.0322961375275744,0.014460496920922192,0.2909707889118768,0.19658077220318346,0.3684508108282569,0.1649727250184103
1.6,0.828,0.968,0.631,0.931,0.03307885444207523,0.015427080190366559,0.2955317241854079,0.20673412877413314,0.3773804446443933,0.17600000000000002
1.7000000000000002,0.822,0.964,0.602,0.925,0.033528720393119694,0.01632904690421337,0.28212763069221003,0.2165063509461094,0.38251274488570963,0.18629009635512048
1.8,0.814,0.962,0.574,0.92,0.03410670334113223,0.016759088853514688,0.2820000000000001,0.22271057451320084,0.3891066691795451,0.1911962342725401
1.9000000000000001,0.802,0.96,0.542,0.908,0.0349293777098877,0.017176579403362015,0.2687675575660127,0.24194214184387125,0.3984921580156879,0.19595917942265423
2.0,0.786,0.956,0.522,0.902,0.03594919989095724,0.017977378140318467,0.26365887051263803,0.24778216239269527,0.41012680965769605,0.2050950998927083
2.1,0.766,0.952,0.489,0.898,0.03711020750144089,0.018737435982545753,0.2576412234096089,0.25218247361781504,0.423372176695635,0.21376622745419838
2.2,0.744,0.94,0.473,0.887,0.03825405867094366,0.02081663949824756,0.2603286384553186,0.26968685544534793,0.4364218143035474,0.23748684174075835
2.3,0.734,0.92,0.443,0.87,0.038731107662962595,0.023779897392545657,0.25739269608906934,0.2934280150224241,0.44186423254207846,0.2712931993250107
2.4000000000000004,0.712,0.916,0.418,0.861,0.03969239548326606,0.02431411402457428,0.24753989577439836,0.3002981851427011,0.452831094338717,0.27738781516137295
2.5,0.68,0.904,0.398,0.851,0.04088843748543101,0.025822060893739673,0.2461625479231152,0.31511743842573997,0.466476151587624,0.29459124223235145
2.6,0.682,0.898,0.39,0.842,0.04082035868534229,0.02652829408763405,0.2527844931952907,0.3209922117435252,0.4656994739099454,0.30264831075028326
2.7,0.654,0.892,0.383,0.828,0.04169634550892919,0.02720604262291743,0.2604054530919043,0.3292658500361069,0.4756931784249171,0.31038041175306147
2.8000000000000003,0.636,0.888,0.363,0.819,0.04217453654517142,0.027643088452631335,0.2640662795587502,0.3342738398379389,0.48114862568649197,0.31536645351083237
2.9000000000000004,0.616,0.886,0.331,0.818,0.04263114895003418,0.0278573856059753,0.27374988584472504,0.3329804799083575,0.48635789291426124,0.31781126474686194
3.0,0.61,0.886,0.327,0.807,0.042753166900242605,0.0278573856059753,0.2803051908188644,0.33948637675170396,0.4877499359302879,0.31781126474686194
3.1,0.598,0.884,0.31,0.801,0.04297686060195649,0.02806895190063213,0.2826658805020514,0.3419049575539961,0.49030194778320024,0.3202249209540069
3.2,0.546,0.884,0.286,0.793,0.04364106264517398,0.02806895190063213,0.2918972421932075,0.34734852813852535,0.49787950349457044,0.3202249209540069
3.3000000000000003,0.526,0.886,0.263,0.796,0.043767638236487015,0.0278573856059753,0.28867109311463796,0.35268115912251385,0.49932354240512233,0.31781126474686194
3.4000000000000004,0.496,0.89,0.236,0.785,0.043825529874720284,0.027425996426748107,0.28513856280762867,0.3511053972812153,0.4999839997439918,0.3128897569432403
3.5,0.466,0.884,0.216,0.769,0.04372548708476556,0.02806895190063213,0.28168067026333204,0.36213119169715274,0.4988426605654332,0.3202249209540069
3.6,0.432,0.882,0.195,0.771,0.04341972919307535,0.02827784863103981,0.2801338965566288,0.36202071763919813,0.49535441857320706,0.32260812141048145
3.7,0.416,0.878,0.178,0.755,0.0432040199611101,0.02868786592272071,0.2744376067524274,0.36121323342314027,0.4928934976239796,0.3272858078194042
3.8000000000000003,0.388,0.878,0.145,0.747,0.04271325250083398,0.02868786592272071,0.2597595041572108,0.36123538032701064,0.4872945721019269,0.3272858078194042
3.9000000000000004,0.39,0.868,0.135,0.732,0.042753166900242605,0.029670023983812348,0.25743931323712005,0.36766288907095324,0.4877499359302879,0.33849076796864047
