,pdiff_bottomup,pdiff_inspect,loss_bottomup,loss_inspect,confidence_bound_bottomup,confidence_bound_inspect,sigma_loss_bottomup,sigma_loss_inspect,sigma_pdiff_bottomup,sigma_pdiff_inspect
0.5,0.99,1.0,0.963,0.997,0.008721449420824505,0.0,0.14188375523646152,0.038613469152615904,0.0994987437106621,0.0
0.6,0.99,1.0,0.96,0.997,0.008721449420824505,0.0,0.14628738838327784,0.038613469152615904,0.0994987437106621,0.0
0.7,0.99,1.0,0.96,0.997,0.008721449420824505,0.0,0.14628738838327784,0.038613469152615904,0.0994987437106621,0.0
0.8,0.99,1.0,0.957,0.997,0.008721449420824505,0.0,0.15050249167372642,0.038613469152615904,0.0994987437106621,0.0
0.9,0.99,1.0,0.955,0.997,0.008721449420824505,0.0,0.1532155344604457,0.038613469152615904,0.0994987437106621,0.0
1.0,0.99,1.0,0.95,0.997,0.008721449420824505,0.0,0.15968719422671337,0.038613469152615904,0.0994987437106621,0.0
1.1,0.99,1.0,0.945,0.997,0.008721449420824505,0.0,0.16575584454250783,0.038613469152615904,0.0994987437106621,0.0
1.2000000000000002,0.99,1.0,0.936,0.997,0.008721449420824505,0.0,0.17579533554676566,0.038613469152615904,0.0994987437106621,0.0
1.3,0.988,1.0,0.923,0.997,0.009544213912104029,0.0,0.1912354569633987,0.038613469152615904,0.1088852607105295,0.0
1.4,0.986,1.0,0.914,0.997,0.01029848983103834,0.0,0.20150434238497186,0.038613469152615904,0.11749042514179629,0.0
1.5,0.984,1.0,0.898,0.997,0.010998377189385717,0.0,0.21816507511515212,0.038613469152615904,0.1254750971308649,0.0
1.6,0.982,1.0,0.88,0.996,0.01165367938464072,0.0,0.23151673805580447,0.04454211490264002,0.13295111883696212,0.0
1.7000000000000002,0.976,1.0,0.855,0.996,0.01341533737182931,0.0,0.24794152536434888,0.04454211490264002,0.15304901175767194,0.0
1.8,0.972,1.0,0.826,0.996,0.014460496920922192,0.0,0.2583098914095241,0.04454211490264002,0.1649727250184103,0.0
1.9000000000000001,0.972,1.0,0.778,0.994,0.014460496920922192,0.0,0.2715069059895162,0.05444263035526449,0.1649727250184103,0.0
2.0,0.966,1.0,0.746,0.993,0.015885434233913788,0.0,0.2747435167569928,0.058745212570898854,0.181229136730273,0.0
2.1,0.96,1.0,0.714,0.993,0.017176579403362015,0.0,0.26870801997707483,0.058745212570898854,0.19595917942265423,0.0
2.2,0.946,1.0,0.668,0.992,0.019811324761358096,0.0,0.26603759132874427,0.06273754856543289,0.22601769842204839,0.0
2.3,0.932,0.998,0.619,0.988,0.022066501381052674,0.003916078038037548,0.2652150071168674,0.08280096617793764,0.251745903640953,0.04467661580737733
2.4000000000000004,0.924,0.998,0.582,0.987,0.023228108765028628,0.003916078038037548,0.2535271188650241,0.08562125904236685,0.26499811320083005,0.04467661580737733
2.5,0.914,0.994,0.534,0.985,0.024574992427262306,0.006769239602791442,0.2566008573641171,0.10136567466356664,0.28036404905051576,0.07722693830523109
2.6,0.898,0.994,0.497,0.985,0.02652829408763405,0.006769239602791442,0.24390776945394746,0.10136567466356664,0.30264831075028326,0.07722693830523109
2.7,0.9,0.99,0.474,0.98,0.02629615941539752,0.008721449420824505,0.228744398838529,0.12083045973594596,0.29999999999999993,0.0994987437106621
2.8000000000000003,0.886,0.984,0.433,0.974,0.0278573856059753,0.010998377189385717,0.22805920283996434,0.1425622670975739,0.31781126474686194,0.1254750971308649
2.9000000000000004,0.866,0.98,0.413,0.969,0.02985949197156576,0.01227154106051885,0.2189314961352067,0.1566492898164562,0.34065231541852176,0.1400000000000002
3.0,0.852,0.98,0.404,0.968,0.03112588612714504,0.01227154106051885,0.2208710030764563,0.1580379701211073,0.355099985919459,0.1400000000000002
3.1,0.824,0.97,0.377,0.957,0.033380359446836406,0.014952629200244358,0.2331758992691998,0.18614779074703008,0.380820167533181,0.17058722109231986
3.2,0.796,0.968,0.356,0.955,0.03532178858438513,0.015427080190366559,0.2392989761783364,0.19098429254784288,0.40296898143653687,0.17600000000000002
3.3000000000000003,0.754,0.956,0.326,0.944,0.03775063799195982,0.017977378140318467,0.24642240157907722,0.21648094604375698,0.43067853440820564,0.2050950998927083
3.4000000000000004,0.704,0.956,0.312,0.941,0.04001319718292953,0.017977378140318467,0.25031180555459226,0.21913238008108282,0.4564909637659874,0.2050950998927083
3.5,0.656,0.952,0.285,0.936,0.0416391840073746,0.018737435982545753,0.25548972582082435,0.22782449385437017,0.4750410508577127,0.21376622745419838
3.6,0.6,0.946,0.258,0.925,0.042941448508405027,0.019811324761358096,0.25580461293729634,0.24264171117101838,0.4898979485566356,0.22601769842204839
3.7,0.536,0.936,0.222,0.912,0.043713185342640036,0.02145354079866537,0.252420284446397,0.26125849268492685,0.49870231601627835,0.2447529366524536
3.8000000000000003,0.462,0.93,0.192,0.905,0.04370017687836058,0.022364622062534385,0.24725695136840947,0.269211812519436,0.4985539088203,0.2551470164434613
3.9000000000000004,0.372,0.926,0.151,0.894,0.04236647791827874,0.022945230371473713,0.2338781734151351,0.2788619730260832,0.48333839077813795,0.26177089219391814
4.0,0.306,0.924,0.124,0.887,0.04039350300233937,0.023228108765028628,0.21822923727126942,0.28413201157208595,0.4608296865437382,0.26499811320083005
4.1,0.268,0.924,0.099,0.879,0.03882343935305063,0.023228108765028628,0.2042033300414075,0.2878523927293293,0.4429175995600085,0.26499811320083005
4.2,0.218,0.92,0.078,0.871,0.03619117576426607,0.023779897392545657,0.18416297130530881,0.2947185097682194,0.4128873938497033,0.2712931993250107
4.300000000000001,0.17,0.91,0.057,0.855,0.03292566658398885,0.02508493731305701,0.16202160349780517,0.3089902911096077,0.375632799419859,0.28618176042508364
4.4,0.15,0.892,0.051,0.825,0.031298690068435775,0.02720604262291743,0.15459301407243473,0.33147398087934454,0.3570714214271425,0.31038041175306147
4.5,0.12,0.884,0.035,0.808,0.028484134531349202,0.02806895190063213,0.13143439428094916,0.3407873237079101,0.32496153618543844,0.3202249209540069
4.6000000000000005,0.114,0.882,0.031,0.801,0.027857385605975303,0.02827784863103981,0.12465552534885889,0.34770533501802914,0.317811264746862,0.32260812141048145
4.7,0.104,0.868,0.029,0.778,0.026757266467260815,0.029670023983812348,0.12513592609638527,0.35877012138694037,0.3052605444534226,0.33849076796864047
4.8,0.096,0.866,0.025,0.764,0.025822060893739677,0.02985949197156576,0.11346805717910217,0.3623589380710789,0.2945912422323515,0.34065231541852176
4.9,0.092,0.86,0.023,0.756,0.025334241555649537,0.03041475431431265,0.1094120651482276,0.3694103409489235,0.289025950392002,0.3469870314579495
5.0,0.09,0.852,0.021,0.739,0.025084937313057012,0.03112588612714504,0.10516178012947479,0.37199327950918687,0.2861817604250837,0.355099985919459
5.1000000000000005,0.088,0.852,0.019,0.735,0.02483189278327369,0.03112588612714504,0.10069260151570224,0.37185346576306105,0.28329489935401236,0.355099985919459
5.2,0.086,0.838,0.018,0.71,0.02457499242726231,0.0322961375275744,0.0983666610188635,0.3793415347678132,0.28036404905051576,0.3684508108282569
5.300000000000001,0.088,0.826,0.021,0.683,0.02483189278327369,0.033230411324568346,0.10981347822558031,0.38731253529933674,0.28329489935401236,0.37910948286741664
5.4,0.09,0.814,0.023,0.665,0.025084937313057012,0.03410670334113223,0.12235603785674003,0.3902242944769072,0.2861817604250837,0.3891066691795451
5.5,0.092,0.806,0.027,0.644,0.025334241555649537,0.0346608696486398,0.12950289572052048,0.38892672831781555,0.289025950392002,0.39542888108988694
5.6000000000000005,0.09,0.802,0.029,0.632,0.025084937313057012,0.0349293777098877,0.1402105559506844,0.3880412349222696,0.2861817604250837,0.3984921580156879
5.7,0.09,0.796,0.029,0.611,0.025084937313057012,0.03532178858438513,0.1402105559506844,0.38363915337201965,0.2861817604250837,0.40296898143653687
5.800000000000001,0.088,0.79,0.033,0.594,0.02483189278327369,0.03570214111226384,0.15300653580811507,0.3836196032530142,0.28329489935401236,0.4073082370883259
5.9,0.088,0.778,0.036,0.574,0.02483189278327369,0.0364281700226624,0.16341358572652398,0.38408853146117244,0.28329489935401236,0.41559114523772034
6.0,0.084,0.784,0.034,0.566,0.02431411402457429,0.03607081674706022,0.15761979571107176,0.37502533247768755,0.27738781516137295,0.41151427678757385
6.1000000000000005,0.084,0.778,0.037,0.55,0.02431411402457429,0.0364281700226624,0.1677229859023503,0.37215588131856786,0.27738781516137295,0.41559114523772034
6.2,0.084,0.778,0.028,0.54,0.02431411402457429,0.0364281700226624,0.14218298069740978,0.36660605559646714,0.27738781516137295,0.41559114523772034
6.300000000000001,0.086,0.776,0.027,0.526,0.02457499242726231,0.03654482941265426,0.1370072990756332,0.36100415510074113,0.28036404905051576,0.4169220550654522
6.4,0.084,0.758,0.029,0.504,0.02431411402457429,0.03754164987317419,0.1402105559506844,0.3577485150213764,0.27738781516137295,0.4282942913464993
6.5,0.082,0.752,0.03,0.492,0.024049128117251985,0.03785348157303368,0.14177446878757824,0.3534628693370776,0.27436472076416824,0.43185182644050496
6.6000000000000005,0.082,0.738,0.023,0.478,0.024049128117251985,0.03854338878718372,0.11819898476721363,0.35286824736720074,0.27436472076416824,0.439722639853806
6.7,0.082,0.734,0.023,0.469,0.024049128117251985,0.038731107662962595,0.11819898476721363,0.3471872693518587,0.27436472076416824,0.44186423254207846
6.800000000000001,0.084,0.72,0.026,0.452,0.02431411402457429,0.03935648764816291,0.12379014500355026,0.3430685062782651,0.27738781516137295,0.44899888641287294
6.9,0.084,0.724,0.024,0.447,0.02431411402457429,0.03918274820376947,0.12009995836801943,0.3356948018662189,0.27738781516137295,0.4470167782086037
